artifact_family,selected_run_id,artifact_role,artifact_path,notes
memory,vmd7-mem-bstr-coreonly,layout_summary_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/layout_metrics_summary.csv,Current paired memory/layout run for the core-only BStr carrier
memory,vmd7-mem-bstr-coreonly,process_summary_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/process_memory_summary.csv,Current paired memory/layout run for the core-only BStr carrier
memory,vmd7-mem-bstr-coreonly,pointer_snapshot_summary_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/pointer_snapshot_summary.csv,Current paired memory/layout run for the core-only BStr carrier
memory,vmd7-mem-bstr-coreonly,pointer_snapshot_comparison_md,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/comparison/pointer_snapshot_summary.md,Current paired memory/layout run for the core-only BStr carrier
memory,vmd7-mem-bstr-coreonly,baseline_layout_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/baseline/memory/layout_metrics.csv,Selected fixed-tag baseline-side layout artifact after the core-only BStr landing
memory,vmd7-mem-bstr-coreonly,candidate_layout_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/candidate/memory/layout_metrics.csv,Selected migrated-head layout artifact after the core-only BStr landing
memory,vmd7-mem-bstr-coreonly,baseline_process_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/baseline/memory/process_memory.csv,Selected fixed-tag baseline-side process working-set artifact after the core-only BStr landing
memory,vmd7-mem-bstr-coreonly,candidate_process_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/candidate/memory/process_memory.csv,Selected migrated-head process working-set artifact after the core-only BStr landing
memory,vmd7-mem-bstr-coreonly,baseline_pointer_snapshot_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/baseline/memory/pointer_snapshot_summary.csv,Selected fixed-tag baseline-side pointer snapshot artifact after the core-only BStr landing
memory,vmd7-mem-bstr-coreonly,candidate_pointer_snapshot_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmd7-mem-bstr-coreonly/candidate/memory/pointer_snapshot_summary.csv,Selected migrated-head pointer snapshot artifact after the core-only BStr landing
variant_correctness,vme5-corr-boundary-final,summary_csv,docs/evidence/value_model_migration/runs/value_model_correctness_vme5-corr-boundary-final/correctness_summary.csv,Current paired Variant boundary correctness bundle for the Variant migration bead
variant_correctness,vme5-corr-boundary-final,comparison_md,docs/evidence/value_model_migration/runs/value_model_correctness_vme5-corr-boundary-final/comparison/correctness_summary.md,Current paired Variant boundary correctness bundle for the Variant migration bead
variant_correctness,vme5-corr-boundary-final,baseline_lane_dir,docs/evidence/value_model_migration/runs/value_model_correctness_vme5-corr-boundary-final/baseline/correctness,Selected fixed-tag baseline-side Variant correctness logs
variant_correctness,vme5-corr-boundary-final,candidate_lane_dir,docs/evidence/value_model_migration/runs/value_model_correctness_vme5-corr-boundary-final/candidate/correctness,Selected migrated-head Variant correctness logs
variant_perf,vme5-perf-check,summary_csv,docs/evidence/value_model_migration/runs/value_model_variant_perf_vme5-perf-check/variant_perf_summary.csv,Current paired seven-workload Variant perf artifact over host boundary workloads
variant_perf,vme5-perf-check,comparison_csv,docs/evidence/value_model_migration/runs/value_model_variant_perf_vme5-perf-check/comparison/variant_perf_summary.csv,Current paired seven-workload Variant perf artifact over host boundary workloads
variant_perf,vme5-perf-check,comparison_md,docs/evidence/value_model_migration/runs/value_model_variant_perf_vme5-perf-check/comparison/variant_perf_summary.md,Current paired seven-workload Variant perf artifact over host boundary workloads
variant_perf,vme5-perf-check,baseline_summary_csv,docs/evidence/value_model_migration/runs/value_model_variant_perf_vme5-perf-check/baseline/perf/variant_perf.csv,Selected fixed-tag baseline-side Variant perf artifact
variant_perf,vme5-perf-check,candidate_summary_csv,docs/evidence/value_model_migration/runs/value_model_variant_perf_vme5-perf-check/candidate/perf/variant_perf.csv,Selected migrated-head Variant perf artifact
variant_memory,vme5-mem-full,layout_summary_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/layout_metrics_summary.csv,Current paired Variant-heavy memory/layout run for the Variant migration bead
variant_memory,vme5-mem-full,process_summary_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/process_memory_summary.csv,Current paired Variant-heavy memory/layout run for the Variant migration bead
variant_memory,vme5-mem-full,pointer_snapshot_summary_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/pointer_snapshot_summary.csv,Current paired Variant-heavy memory/layout run for the Variant migration bead
variant_memory,vme5-mem-full,pointer_snapshot_comparison_md,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/comparison/pointer_snapshot_summary.md,Current paired Variant-heavy memory/layout run for the Variant migration bead
variant_memory,vme5-mem-full,baseline_layout_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/baseline/memory/layout_metrics.csv,Selected fixed-tag baseline-side Variant layout artifact
variant_memory,vme5-mem-full,candidate_layout_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/candidate/memory/layout_metrics.csv,Selected migrated-head Variant layout artifact
variant_memory,vme5-mem-full,baseline_process_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/baseline/memory/process_memory.csv,Selected fixed-tag baseline-side Variant process working-set artifact
variant_memory,vme5-mem-full,candidate_process_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/candidate/memory/process_memory.csv,Selected migrated-head Variant process working-set artifact
variant_memory,vme5-mem-full,baseline_pointer_snapshot_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/baseline/memory/pointer_snapshot_summary.csv,Selected fixed-tag baseline-side Variant pointer snapshot artifact
variant_memory,vme5-mem-full,candidate_pointer_snapshot_csv,docs/evidence/value_model_migration/runs/value_model_memory_vme5-mem-full/candidate/memory/pointer_snapshot_summary.csv,Selected migrated-head Variant pointer snapshot artifact
abi_layout_correctness,vmg5-abi-layout-r3,summary_csv,docs/evidence/value_model_migration/runs/value_model_correctness_vmg5-abi-layout-r3/correctness_summary.csv,Current paired ABI/layout correctness matrix across UDT pointer-helper and native-writeback lanes
abi_layout_correctness,vmg5-abi-layout-r3,comparison_md,docs/evidence/value_model_migration/runs/value_model_correctness_vmg5-abi-layout-r3/comparison/correctness_summary.md,Current paired ABI/layout correctness matrix across UDT pointer-helper and native-writeback lanes
abi_layout_layout,vmf2-mem-identity-smoke,comparison_csv,docs/evidence/value_model_migration/runs/value_model_memory_vmf2-mem-identity-smoke/comparison/layout_metrics.csv,Current authoritative layout-size delta table after the ObjectRef-backed migration
abi_layout_layout,2026-04-22,classification_note,docs/evidence/value_model_migration/ABI_LAYOUT_MATRIX_2026-04-22.md,Current ABI/layout matrix classification note linking paired correctness and layout-size deltas
